regime,variant,split,n,auc_mean,auc_std,ap_mean,ap_std,eer_mean,eer_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
ff_only,backbone+blink,celebdf_test,1306,0.564754,0.002150,0.888116,0.000710,0.444532,0.003360,0.066076,0.006219,0.156067,0.013898
ff_only,backbone+blink,dfdc_test,77,0.547603,0.005623,0.785000,0.004894,0.470000,0.014230,0.210909,0.027574,0.283636,0.009959
ff_only,backbone+blink,ff_test,600,0.720208,0.002025,0.920348,0.000812,0.352400,0.007701,0.250400,0.011524,0.384800,0.007563
ff_only,backbone+rppg,celebdf_test,1306,0.604618,0.006421,0.903530,0.002883,0.418428,0.007852,0.093534,0.011542,0.173251,0.018628
ff_only,backbone+rppg,dfdc_test,77,0.581653,0.013735,0.773400,0.004327,0.426364,0.046510,0.109091,0.022268,0.152727,0.020730
ff_only,backbone+rppg,ff_test,600,0.718412,0.004162,0.921626,0.001451,0.342400,0.011845,0.198400,0.006066,0.398800,0.014805
ff_only,backbone_only,celebdf_test,1306,0.559748,0.001085,0.885608,0.000308,0.448829,0.002882,0.060230,0.000626,0.153942,0.012796
ff_only,backbone_only,dfdc_test,77,0.560331,0.008609,0.788765,0.003846,0.454545,0.000000,0.210909,0.020730,0.309091,0.000000
ff_only,backbone_only,ff_test,600,0.724974,0.001503,0.920434,0.000975,0.337600,0.008764,0.258800,0.006573,0.394800,0.001789
ff_only,full_fusion,celebdf_test,1306,0.604644,0.007161,0.903641,0.003586,0.419348,0.006170,0.095483,0.016880,0.175199,0.013188
ff_only,full_fusion,dfdc_test,77,0.584298,0.013415,0.773610,0.006353,0.428182,0.024351,0.109091,0.022268,0.141818,0.023706
ff_only,full_fusion,ff_test,600,0.718364,0.003515,0.921852,0.001128,0.344200,0.014464,0.198000,0.013038,0.399200,0.017697
mixed,backbone+blink,celebdf_test,1306,0.615207,0.005656,0.904329,0.001566,0.411230,0.004805,0.114260,0.010499,0.202126,0.018783
mixed,backbone+blink,dfdc_test,77,0.577686,0.009726,0.814205,0.004409,0.462727,0.018295,0.236364,0.034015,0.403636,0.008131
mixed,backbone+blink,ff_test,600,0.730112,0.002273,0.921978,0.000718,0.322200,0.008614,0.256000,0.017029,0.348000,0.010198
mixed,backbone+rppg,celebdf_test,1306,0.640477,0.004955,0.913544,0.001318,0.389424,0.011364,0.103277,0.007557,0.190788,0.025507
mixed,backbone+rppg,dfdc_test,77,0.610248,0.015234,0.806708,0.010082,0.401818,0.036164,0.174545,0.050779,0.250909,0.034973
mixed,backbone+rppg,ff_test,600,0.727996,0.001553,0.922618,0.000801,0.324800,0.005762,0.224000,0.008367,0.382400,0.023723
mixed,backbone_only,celebdf_test,1306,0.614558,0.006794,0.903686,0.001945,0.416801,0.004551,0.109477,0.002393,0.200886,0.009650
mixed,backbone_only,dfdc_test,77,0.593554,0.008085,0.819789,0.004628,0.452727,0.007606,0.240000,0.029876,0.378182,0.023706
mixed,backbone_only,ff_test,600,0.733008,0.001232,0.921868,0.000627,0.321800,0.008468,0.272000,0.005657,0.346400,0.008877
mixed,full_fusion,celebdf_test,1306,0.641158,0.005032,0.913839,0.001413,0.388593,0.010000,0.104340,0.008910,0.192383,0.023894
mixed,full_fusion,dfdc_test,77,0.614876,0.013313,0.807921,0.011105,0.383636,0.027386,0.174545,0.041858,0.225455,0.020730
mixed,full_fusion,ff_test,600,0.728070,0.001555,0.922828,0.000464,0.324400,0.006025,0.222400,0.009940,0.387600,0.024141
